algorithm,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classification__max_depth,param_classification__n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_RECALL,split1_test_RECALL,split2_test_RECALL,split3_test_RECALL,split4_test_RECALL,mean_test_RECALL,std_test_RECALL,rank_test_RECALL,split0_train_RECALL,split1_train_RECALL,split2_train_RECALL,split3_train_RECALL,split4_train_RECALL,mean_train_RECALL,std_train_RECALL,split0_test_PRECISION,split1_test_PRECISION,split2_test_PRECISION,split3_test_PRECISION,split4_test_PRECISION,mean_test_PRECISION,std_test_PRECISION,rank_test_PRECISION,split0_train_PRECISION,split1_train_PRECISION,split2_train_PRECISION,split3_train_PRECISION,split4_train_PRECISION,mean_train_PRECISION,std_train_PRECISION,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1
Random Forest,2.4896334171295167,0.027242434712689802,0.14061880111694336,0.019763368426994977,2,20,"{'classification__max_depth': 2, 'classification__n_estimators': 20}",0.8244228664045453,0.8398775757238257,0.871831132461191,0.8288895792819554,0.8535539634644826,0.8437148202211094,0.017286111845033373,7,0.8734405291639843,0.8600715353763154,0.8611336557456066,0.8681202303161903,0.8631769678522703,0.8651885836908735,0.004967139587405866,0.8028169014084507,0.8169014084507042,0.8591549295774648,0.7464788732394366,0.7714285714285715,0.799356713729463,0.0386567892107606,2,0.8268551236749117,0.8197879858657244,0.8127208480565371,0.8374558303886925,0.795774647887324,0.818518887174638,0.014004491759019062,0.024912587412587412,0.022906793048973143,0.027527075812274367,0.022175732217573223,0.027013506753376687,0.02490709553705413,0.0021336758227268097,9,0.026292134831460673,0.02290000987069391,0.02576742101725297,0.024173806609547124,0.028560596486793884,0.025538793763149707,0.001927560906831757,0.04832556167867741,0.044563964656165966,0.053344993441189335,0.043071921982933775,0.05219913001449976,0.048301033832152826,0.004048375083866808,9,0.05096373734073832,0.04455540618398309,0.04995113475947443,0.04699117676216913,0.0551421251677443,0.049520716042821857,0.0036033507254857444
Random Forest,22.799925231933592,0.16082207870126952,0.8843465805053711,0.018749666324646416,2,200,"{'classification__max_depth': 2, 'classification__n_estimators': 200}",0.8277450573799681,0.8423922999028403,0.8763337490346301,0.8393397530118805,0.8610951736849147,0.8493809646237295,0.01721320166923655,5,0.8759029700582335,0.8694454105701175,0.8667875130564837,0.8746542168812017,0.8671712082399715,0.8707922637612017,0.0037946827421723303,0.8028169014084507,0.7746478873239436,0.8591549295774648,0.7464788732394366,0.8142857142857143,0.7994765552558466,0.03799294921853546,1,0.8162544169611308,0.8162544169611308,0.8162544169611308,0.8409893992932862,0.7992957746478874,0.8178096849649131,0.013321566028531512,0.023809523809523808,0.023799221116399826,0.026991150442477876,0.0231239092495637,0.02871536523929471,0.025287763167856213,0.002178645165830369,7,0.024785407725321888,0.025190839694656488,0.025502318392581144,0.025405636208368915,0.028737814913280164,0.02592440338684172,0.0014281446952175896,0.046247464503042596,0.04617968094038622,0.05233805233805233,0.044858231062209056,0.05547445255474452,0.04901944293926936,0.00414105257176294,7,0.048109965635738834,0.048873373532211994,0.04945937265817365,0.04932131385348669,0.05548087498472443,0.05024898013286712,0.0026579858904656854
Random Forest,89.20295157432557,0.22169918561056157,3.1993216037750245,0.1105545971911533,2,800,"{'classification__max_depth': 2, 'classification__n_estimators': 800}",0.831747953122962,0.8459577567370721,0.879488145185754,0.8446527672956896,0.8611999643265901,0.8526091398739059,0.016364822662896402,4,0.8776993510454195,0.8719006361600535,0.8695358546394683,0.8766586468023059,0.8699515007012213,0.8731491978696937,0.003401780373764085,0.7887323943661971,0.7746478873239436,0.8591549295774648,0.7464788732394366,0.8,0.7938026888842401,0.03726021817068881,3,0.8162544169611308,0.8127208480565371,0.8197879858657244,0.8374558303886925,0.8028169014084507,0.8178071965361072,0.01134004719496015,0.02329450915141431,0.025557620817843865,0.026113013698630137,0.02301346070343031,0.027572624322993598,0.025110194872730442,0.001729860455967935,8,0.02466894489534387,0.027228601870486563,0.024804875441034963,0.025161906784159676,0.02797889311571972,0.025968644421348958,0.0013655032258880508,0.04525252525252525,0.04948268106162843,0.05068550062318238,0.04465037910699241,0.05330794859590671,0.04867571124043382,0.003288418413553016,8,0.04789053591790194,0.05269186712485681,0.048152760481527605,0.04885590599876314,0.05407328352899324,0.050332870610408545,0.002547738477356645
Random Forest,7.2268651008605955,0.10314334688106946,0.23473973274230958,0.013991102302687611,10,20,"{'classification__max_depth': 10, 'classification__n_estimators': 20}",0.8377028375643519,0.837946103423161,0.859812919761834,0.8481859840763444,0.8560154287497956,0.8479324877466817,0.009065519461545034,6,0.9972558864934282,0.9972111240322761,0.9963981384698702,0.9970271107936174,0.99855835669516,0.9972901232968704,0.0007043637559556198,0.4225352112676056,0.49295774647887325,0.5915492957746479,0.38028169014084506,0.4142857142857143,0.46032288257421583,0.07515276675872126,4,1.0,0.9964664310954063,1.0,1.0,1.0,0.9992932862190813,0.0014134275618374657,0.0539568345323741,0.06340579710144928,0.06873977086743044,0.059734513274336286,0.059670781893004114,0.061101569089331245,0.0048706684848609585,6,0.12379702537182852,0.1284738041002278,0.12235192390834414,0.13399621212121213,0.14504596527068436,0.13073298615445939,0.00823363437125059,0.09569377990430622,0.11235955056179776,0.12316715542521994,0.10325047801147229,0.10431654676258993,0.10775757321397893,0.009341636783127582,5,0.2203191903464383,0.22760290556900725,0.21802773497688752,0.23632567849686847,0.25334522747546834,0.23112414737293396,0.012817913908198687
Random Forest,70.13574686050416,0.7997166496130058,1.7735785007476808,0.027284186944836683,10,200,"{'classification__max_depth': 10, 'classification__n_estimators': 200}",0.8501540928015288,0.872773421299831,0.8907765603086839,0.8522321108002714,0.8750657728495622,0.8682002497916272,0.015221060453725982,1,0.998706484361816,0.9977999296301021,0.9979458901810462,0.9983319319404702,0.9987202896915359,0.9983009051609942,0.00037903895635717547,0.4225352112676056,0.4788732394366197,0.5633802816901409,0.323943661971831,0.4142857142857143,0.4406041653877073,0.0789530114461409,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.055350553505535055,0.06772908366533864,0.07220216606498195,0.05215419501133787,0.05894308943089431,0.061275865723518674,0.007547044831662616,5,0.12684894666069027,0.13399621212121213,0.13047487321346243,0.14242576748867639,0.142,0.13514915989680826,0.006196044100906921,0.09787928221859707,0.11867364746945898,0.12799999999999997,0.08984375,0.10320284697508897,0.10751999451146678,0.013913183560783483,6,0.22513922036595066,0.23632567849686847,0.2308319738988581,0.24933920704845813,0.2486865148861646,0.23806451893926,0.009616049156597348
Random Forest,273.6570363521576,1.3795263579368358,7.156362581253052,0.12054645502243692,10,800,"{'classification__max_depth': 10, 'classification__n_estimators': 800}",0.8451568844970772,0.8712727933515148,0.8880317593836874,0.8544068489597454,0.8762311042406766,0.8670196878073329,0.015372233193451974,2,0.9987308417585415,0.9980082083507819,0.9982373517094113,0.9982072956009991,0.9988736131281498,0.9984114621095767,0.0003317224480778405,0.4225352112676056,0.49295774647887325,0.5492957746478874,0.3380281690140845,0.4857142857142857,0.45770565885344916,0.07207781862561059,5,1.0,0.9964664310954063,1.0,1.0,1.0,0.9992932862190813,0.0014134275618374657,0.05649717514124294,0.06986027944111776,0.06964285714285715,0.05393258426966292,0.06896551724137931,0.06377957552182918,0.007046218352022291,4,0.127996381727725,0.13159122725151656,0.13029465930018416,0.14114713216957606,0.14249874560963371,0.1347056292117271,0.005939625922214067,0.09966777408637874,0.12237762237762237,0.12361331220285263,0.09302325581395349,0.12078152753108348,0.11189251478302784,0.012898305022588373,3,0.2269446672012831,0.2324814509480627,0.2305498981670061,0.24737762237762237,0.24945103205972768,0.2373609341507404,0.009221742732724098
Random Forest,8.36602258682251,0.13742400321279263,0.23222317695617675,0.007677167039855298,20,20,"{'classification__max_depth': 20, 'classification__n_estimators': 20}",0.7561186492589916,0.7932577255228385,0.820576041830004,0.7487430042747382,0.8080733385852519,0.7853532825686881,0.02833488945925786,9,0.9999696681474738,0.999998069791203,0.9999954042647689,0.999991176188356,1.0,0.9999908636783603,1.1003322701779257e-05,0.2112676056338028,0.15492957746478872,0.19718309859154928,0.14084507042253522,0.18571428571428572,0.17798776795957216,0.026256551786221553,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08620689655172414,0.08661417322834646,0.0875,0.08547008547008547,0.10317460317460317,0.08979287526008271,0.006722558931086042,1,0.36897001303780963,0.4192592592592593,0.4149560117302053,0.424287856071964,0.44305772230889234,0.4141061724816262,0.02452104540005708,0.12244897959183675,0.1111111111111111,0.1212121212121212,0.10638297872340426,0.1326530612244898,0.11876136341333193,0.009212204906677708,1,0.5390476190476191,0.5908141962421712,0.5865284974093264,0.5957894736842105,0.6140540540540541,0.5852467680874762,0.024931942661488377
Random Forest,83.30584840774536,0.707455347211894,1.9996725559234618,0.04913004130734606,20,200,"{'classification__max_depth': 20, 'classification__n_estimators': 200}",0.8249042690227306,0.8442768775801203,0.8537810988289534,0.8342861246136689,0.8548211127131116,0.8424136402519345,0.011482756204686827,8,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,4.965068306494546e-17,0.19718309859154928,0.16901408450704225,0.18309859154929578,0.14084507042253522,0.14285714285714285,0.166600088040898,0.022092483320748077,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08187134502923976,0.09448818897637795,0.08280254777070063,0.072992700729927,0.07692307692307693,0.08181567295167788,0.007257478710041646,3,0.3614303959131545,0.42684766214177977,0.437403400309119,0.36375321336760924,0.4369230769230769,0.4052715497309479,0.035058872327533866,0.11570247933884298,0.12121212121212123,0.11403508771929824,0.09615384615384615,0.1,0.10942090149133879,0.009638987175665501,4,0.5309568480300187,0.5983086680761099,0.6086021505376344,0.533459000942507,0.60813704496788,0.57589274251083,0.03586622692626505
Random Forest,244.25692615509033,21.997838483151703,4.754474639892578,0.8480882183574749,20,800,"{'classification__max_depth': 20, 'classification__n_estimators': 800}",0.8310643174414294,0.8622367856080401,0.8871612779371055,0.8325121889384375,0.8768271474649583,0.8579599537404662,0.022794562990162984,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.22535211267605634,0.18309859154929578,0.2112676056338028,0.1267605633802817,0.15714285714285714,0.18072483320672242,0.03577266133773588,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0935672514619883,0.1092436974789916,0.09740259740259741,0.06666666666666667,0.07746478873239436,0.08886923592892833,0.015053463128328634,2,0.3709043250327654,0.43808049535603716,0.44357366771159873,0.36096938775510207,0.4264264264264264,0.407990860456386,0.034922263380017894,0.13223140495867766,0.1368421052631579,0.13333333333333333,0.08737864077669903,0.10377358490566037,0.11871212243121823,0.019647956051404968,2,0.5411089866156787,0.6092572658772875,0.6145494028230185,0.5304592314901593,0.5978947368421053,0.5786539247296498,0.035574174683687405
