algorithm,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classification__n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_RECALL,split1_test_RECALL,split2_test_RECALL,split3_test_RECALL,split4_test_RECALL,mean_test_RECALL,std_test_RECALL,rank_test_RECALL,split0_train_RECALL,split1_train_RECALL,split2_train_RECALL,split3_train_RECALL,split4_train_RECALL,mean_train_RECALL,std_train_RECALL,split0_test_PRECISION,split1_test_PRECISION,split2_test_PRECISION,split3_test_PRECISION,split4_test_PRECISION,mean_test_PRECISION,std_test_PRECISION,rank_test_PRECISION,split0_train_PRECISION,split1_train_PRECISION,split2_train_PRECISION,split3_train_PRECISION,split4_train_PRECISION,mean_train_PRECISION,std_train_PRECISION,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1
Adaptive Boosting,12.447013854980469,0.17409891028400024,0.49167165756225584,0.011697334919308045,20,{'classification__n_estimators': 20},0.8582763881174886,0.8612366112186594,0.8596531849509292,0.8542243995656386,0.8640820785706854,0.8594944377182919,0.0032668851610274724,1,0.9161320601063343,0.907695622985,0.9142683056406584,0.9134203005757905,0.9112769753993736,0.9125586529414313,0.0028888179396741247,0.704225352112676,0.7464788732394366,0.7887323943661971,0.7464788732394366,0.7714285714285715,0.7514684005622282,0.02852631397933437,1,0.8162544169611308,0.8021201413427562,0.8445229681978799,0.8268551236749117,0.8380281690140845,0.8255561638381526,0.015183856708722358,0.031036623215394164,0.03016505406943654,0.03160270880361174,0.03339634530560807,0.031016657093624354,0.031443486514502975,0.0010790015053046078,6,0.03600374064837905,0.03277978339350181,0.034617612977983776,0.03481624758220503,0.03348811031377515,0.03434109898316896,0.0011164138594660026,0.059453032104637336,0.05798687089715536,0.06077048290830169,0.06393244873341375,0.059635560463832143,0.060355693897184516,0.0019955097435754004,6,0.06896551724137931,0.06298557158712542,0.06650897453735911,0.06681896059394632,0.0644026518739007,0.06593633516674217,0.0020660144084862797
Adaptive Boosting,31.532865142822267,0.30598938683003357,1.1130949020385743,0.03000485432803479,50,{'classification__n_estimators': 50},0.7819194848625621,0.8566783072799506,0.8247921615637013,0.8301601304842896,0.8510806070425256,0.8289256805947478,0.026416898827279826,2,0.9414523093201878,0.9363152883934155,0.9376984208686087,0.9402515356189701,0.9383356768432884,0.9388106462088942,0.0018299725691247927,0.5915492957746479,0.7183098591549296,0.7183098591549296,0.5774647887323944,0.6714285714285714,0.6554121439995299,0.06053656197123178,2,0.8798586572438163,0.8551236749116607,0.8657243816254417,0.872791519434629,0.8556338028169014,0.8658264072064897,0.009631873145938386,0.030545454545454546,0.03450608930987822,0.033932135728542916,0.03144171779141104,0.03333333333333333,0.032751734127693735,0.0015095284357655,5,0.045198765656198944,0.04111450900441726,0.041190316072629456,0.044584837545126356,0.042202153525529695,0.04285811636078034,0.0017153551718616532,0.058091286307053944,0.065848934796643,0.06480304955527319,0.05963636363636364,0.06351351351351352,0.062378606118113286,0.0030036952483118795,5,0.08598066298342541,0.07845680012968065,0.07863906275076232,0.08483599519148206,0.0804369414101291,0.0816698924930959,0.00315077794688436
Adaptive Boosting,62.75728492736816,0.704389357975789,2.194853973388672,0.06646587899470233,100,{'classification__n_estimators': 100},0.7948001189951068,0.8449780987454222,0.8048458265983374,0.8364755173429506,0.8501791102457006,0.8262552401927736,0.022249182947798495,3,0.959650823390307,0.9567182387819022,0.9552782111045464,0.957692304864163,0.9561347051720372,0.9570948566625912,0.001500256195666831,0.5492957746478874,0.6338028169014085,0.7323943661971831,0.5633802816901409,0.6142857142857143,0.6186318805227407,0.06488700529352086,3,0.9257950530035336,0.8869257950530035,0.9222614840989399,0.9151943462897526,0.9014084507042254,0.9103170258298909,0.014370386573954728,0.0325542570951586,0.036115569823434994,0.040625,0.034453057708871665,0.03598326359832636,0.03594622888013626,0.0026704574989859222,4,0.054266777133388566,0.050799433313094514,0.05032780563054377,0.05357881671493587,0.05194805194805195,0.05218417694800294,0.0015298122780253345,0.061465721040189124,0.0683371298405467,0.076980014803849,0.06493506493506494,0.06798418972332017,0.06794042316451304,0.005154225413217629,4,0.10252396791234591,0.09609494640122511,0.09544706527701591,0.1012311901504788,0.0982348426707598,0.0987064024823651,0.0027789821560802196
Adaptive Boosting,124.81838898658752,1.4219544011444807,4.318451356887818,0.11306909881704345,200,{'classification__n_estimators': 200},0.7522307918889887,0.8583284118403062,0.8046868245159229,0.8288111773334836,0.8081543469536394,0.8104423577696538,0.03480678053219681,4,0.978353811316759,0.9744663707993602,0.9730723923890213,0.9755698068283801,0.9740909037619746,0.9751106570190992,0.001807672121065126,0.4788732394366197,0.6619718309859155,0.647887323943662,0.43661971830985913,0.5857142857142857,0.5622127942103654,0.0900712979303879,4,0.9823321554770318,0.9646643109540636,0.9575971731448764,0.9646643109540636,0.9647887323943662,0.9668093365848802,0.0082353745854372,0.035453597497393116,0.046442687747035576,0.04423076923076923,0.03526734926052332,0.04137235116044399,0.04055333406088767,0.00453497096941521,3,0.07370095440084835,0.06614974557790163,0.06601705237515225,0.07067046337043749,0.06757090012330456,0.06882182316952887,0.002959558700113659,0.06601941747572815,0.0867959372114497,0.08280828082808281,0.06526315789473684,0.0772855796418473,0.07563444050297093,0.008703895312044784,3,0.13711467324291,0.12380952380952381,0.1235186873290793,0.13169319826338638,0.12629638165475918,0.12848649285993174,0.005216860639266112
Adaptive Boosting,249.05934524536133,3.066969197729309,8.261920833587647,0.5501720142642895,400,{'classification__n_estimators': 400},0.7530074840888008,0.842139508573656,0.7845661001698465,0.7849984099791759,0.7941183465374496,0.7917659212759982,0.028785309786292727,5,0.9901602551258074,0.987286725715124,0.9872507870656156,0.9877977714728374,0.9887338415049657,0.9882458761768701,0.0010967157056355958,0.36619718309859156,0.5211267605633803,0.5633802816901409,0.4084507042253521,0.5,0.47183040401927356,0.0731858893044711,5,1.0,0.9893992932862191,0.9858657243816255,0.9964664310954063,0.9929577464788732,0.9929378390484247,0.004997230981600594,0.03795620437956204,0.04774193548387097,0.05201560468140442,0.04252199413489736,0.04847645429362881,0.045742382117247064,0.004936069137008211,2,0.10438952416082627,0.09006111289803795,0.08985507246376812,0.09556082683835988,0.09740932642487046,0.09545517255717254,0.005368603531756342,0.06878306878306878,0.08747044917257685,0.09523809523809523,0.07702523240371846,0.08838383838383838,0.08338003343321573,0.009336428492135491,2,0.1890447561790247,0.1650943396226415,0.1646989374262101,0.1743970315398887,0.17741428122050956,0.17412986919765494,0.008987723410281413
Adaptive Boosting,395.71003193855285,29.278775456922823,11.600162696838378,2.0104493643563317,800,{'classification__n_estimators': 800},0.725607834919202,0.8437236675698767,0.7837791497711688,0.736875733644401,0.7899445575753973,0.7759859003535753,0.04221777477789454,6,0.9969754547296182,0.9957158556174408,0.9956760565503382,0.9961962937785143,0.996602246399006,0.9962331814149834,0.000503299797215112,0.29577464788732394,0.4225352112676056,0.4225352112676056,0.323943661971831,0.32857142857142857,0.3586726539908334,0.05333928860076927,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.043933054393305436,0.056074766355140186,0.05725190839694656,0.05054945054945055,0.04722792607802875,0.05100749922879761,0.005083577229328569,1,0.15397170837867247,0.13292625645843117,0.13242863827795975,0.13899803536345776,0.14760914760914762,0.14118675721753374,0.00841941919659979,0.07650273224043716,0.099009900990099,0.10084033613445378,0.08745247148288975,0.08258527827648116,0.08927828208150933,0.00937800101630633,1,0.2668552569542669,0.2346600331674958,0.23388429752066114,0.24407072013799053,0.2572463768115942,0.2473433369184017,0.012895791396818288
